ID;PROVINCE;NAME;LONGITUDE;LATITUDE
1010014;1;Alegría-Dulantzi;-2,51243731;42,83981158
1010029;1;Amurrio;-3,00007326;43,05427776
1010035;1;Aramaio;-2,56540037;43,05119653
1010040;1;Artziniega;-3,12791718;43,12084358
1010066;1;Armiñón;-2,87183475;42,72326199
1010088;1;Arratzua-Ubarrundia;-2,63878816;42,89116171
1010091;1;Asparrena;-2,31670754;42,88968768
1010105;1;Ayala/Aiara;-3,04306746;43,07768283
1010112;1;Baños de Ebro/Mañueta;-2,67863583;42,52925602
1010133;1;Barrundia;-2,49407452;42,91537538
1010148;1;Berantevilla;-2,85971414;42,68227191
1010164;1;Bernedo;-2,49825439;42,62676989
1010170;1;Campezo/Kanpezu;-2,35207693;42,66971209
1010186;1;Zigoitia;-2,73033002;42,96210609
1010199;1;Kripan;-2,51621636;42,59082439
1010203;1;Kuartango;-2,88438243;42,87006411
1010210;1;Elburgo/Burgelu;-2,545933;42,850282
1010225;1;Elciego;-2,61723872;42,51420738
1010231;1;Elvillar/Bilar;-2,54441267;42,56842577
1010278;1;Iruraiz-Gauna;-2,475996232;42,83131017
1010284;1;Labastida/Bastida;-2,793199;42,590217
1010301;1;Lagrán;-2,58423377;42,62621464
1010318;1;Laguardia;-2,58411693;42,55236655
1010323;1;Lanciego/Lantziego;-2,51278162;42,5624416
1010339;1;Lapuebla de Labarca;-2,57209001;42,49441468
1010344;1;Leza;-2,63459428;42,56469687
1010360;1;Laudio/Llodio;-2,96256495;43,1425188
1010376;1;Arraia-Maeztu;-2,444299;42,738527
1010395;1;Moreda de Álava/Moreda Araba;-2,40841718;42,52479167
1010416;1;Navaridas;-2,62479544;42,5450594
1010421;1;Okondo;-3,019026823;43,1615513
1010437;1;Oyón-Oion;-2,436788;42,506067
1010442;1;Peñacerrada-Urizaharra;-2,71402821;42,64417512
1010468;1;Erriberagoitia/Ribera Alta;-2,91080642;42,80074682
1010474;1;Ribera Baja/Erriberabeitia;-2,91704002;42,71339792
1010493;1;Añana;-2,98601634;42,8012318
1010513;1;Agurain/Salvatierra;-2,389753;42,850452
1010528;1;Samaniego;-2,67904862;42,56735197
1010534;1;San Millán/Donemiliaga;-2,37748902;42,87382571
1010549;1;Urkabustaiz;-2,90661046;42,95304046
1010552;1;Valdegovía/Gaubea;-3,09884417;42,84756896
1010565;1;Harana/Valle de Arana;-2,33104687;42,75289194
1010571;1;Villabuena de Álava/Eskuernaga;-2,66452938;42,54857804
1010587;1;Legutio;-2,64255929;42,9798744
1010590;1;Vitoria-Gasteiz;-2,67275685;42,85058789
1010604;1;Yécora/Iekora;-2,4700849;42,56923117
1010611;1;Zalduondo;-2,34650825;42,88580971
1010626;1;Zambrana;-2,87806502;42,66112968
1010632;1;Zuia;-2,81862854;42,95597763
1019015;1;Iruña Oka/Iruña de Oca;-2,8147543;42,81819126
1019020;1;Lantarón;-2,96649719;42,71657557
1020019;2;Abengibre;-1,54384487;39,2100078
1020024;2;Alatoz;-1,36097604;39,09494843
1020030;2;Albacete;-1,85574745;38,99588053
1020045;2;Albatana;-1,52275248;38,5708754
1020058;2;Alborea;-1,39670449;39,27835442
1020061;2;Alcadozo;-1,9802275;38,6489758
1020077;2;Alcalá del Júcar;-1,42932697;39,1932018
1020083;2;Alcaraz;-2,49034957;38,66425104
1020096;2;Almansa;-1,09414681;38,86968811
1020100;2;Alpera;-1,23080245;38,95969094
1020117;2;Ayna;-2,07053831;38,55217746
1020122;2;Balazote;-2,15096732;38,88396156
1020138;2;Balsa de Ves;-1,19650012;39,26461253
1020143;2;El Ballestero;-2,45508633;38,84252196
1020156;2;Barrax;-2,20045637;39,0456106
1020169;2;Bienservida;-2,61184243;38,51602097
1020175;2;Bogarra;-2,21253636;38,58025427
1020181;2;Bonete;-1,34830324;38,86950589
1020194;2;El Bonillo;-2,54023691;38,95012362
1020208;2;Carcelén;-1,30876708;39,10231176
1020215;2;Casas de Juan Núñez;-1,55799035;39,10160749
1020220;2;Casas de Lázaro;-2,23922378;38,7705758
1020236;2;Casas de Ves;-1,33454992;39,25946122
1020241;2;Casas-Ibáñez;-1,47129143;39,28701686
1020254;2;Caudete;-0,9886912;38,70573009
1020267;2;Cenizate;-1,66113349;39,30332101
1020273;2;Corral-Rubio;-1,4608525;38,83500072
1020289;2;Cotillas;-2,50574545;38,43135915
1020292;2;Chinchilla de Monte-Aragón;-1,72602643;38,9210968
1020306;2;Elche de la Sierra;-2,04781376;38,44790893
1020313;2;Férez;-2,00953934;38,35567013
1020328;2;Fuensanta;-2,06725219;39,24466001
1020334;2;Fuente-Álamo;-1,43170411;38,69314229
1020349;2;Fuentealbilla;-1,54879364;39,26773579
1020352;2;La Gineta;-1,99784496;39,11387916
1020365;2;Golosalvo;-1,63626863;39,23996013
1020371;2;Hellín;-1,70344921;38,51218953
1020387;2;La Herrera;-2,12637236;38,9621774
1020390;2;Higueruela;-1,44535609;38,96455026
1020404;2;Hoya-Gonzalo;-1,55687053;38,95787352
1020411;2;Jorquera;-1,52061391;39,17457441
1020426;2;Letur;-2,10096881;38,36632081
1020432;2;Lezuza;-2,35387427;38,94878996
1020447;2;Liétor;-1,95479319;38,54083745
1020450;2;Madrigueras;-1,7997012;39,23680339
1020463;2;Mahora;-1,72481837;39,21303088
1020479;2;Masegoso;-2,31511768;38,71877813
1020485;2;Minaya;-2,31961973;39,27118701
1020498;2;Molinicos;-2,23898151;38,46778179
1020501;2;Montalvos;-2,02769341;39,16721439
1020518;2;Montealegre del Castillo;-1,32487672;38,78717469
1020523;2;Motilleja;-1,79025762;39,17948885
1020539;2;Munera;-2,4830388;39,03954575
1020544;2;Navas de Jorquera;-1,7189485;39,28099513
1020557;2;Nerpio;-2,30224029;38,14824043
1020560;2;Ontur;-1,49888166;38,61472661
1020576;2;Ossa de Montiel;-2,74272664;38,96201035
1020582;2;Paterna del Madera;-2,34555766;38,59729435
1020595;2;Peñascosa;-2,41040499;38,67153536
1020609;2;Peñas de San Pedro;-2,00212787;38,72688881
1020616;2;Pétrola;-1,55549981;38,82629814
1020621;2;Povedilla;-2,60393627;38,70163971
1020637;2;Pozohondo;-1,91133356;38,721122
1020642;2;Pozo-Lorente;-1,50647855;39,07663024
1020655;2;Pozuelo;-2,10117384;38,80969625
1020668;2;La Recueja;-1,48988779;39,17688319
1020674;2;Riópar;-2,41839311;38,4998099
1020680;2;Robledo;-2,44882682;38,75778452
1020693;2;La Roda;-2,15924796;39,20706504
1020707;2;Salobre;-2,55057256;38,59195258
1020714;2;San Pedro;-2,186211;38,82654004
1020729;2;Socovos;-1,98469065;38,33202632
1020735;2;Tarazona de la Mancha;-1,91280979;39,26539647
1020740;2;Tobarra;-1,69282296;38,5922733
1020753;2;Valdeganga;-1,67646922;39,13545152
1020766;2;Vianos;-2,50149079;38,632307
1020772;2;Villa de Ves;-1,25897631;39,22231541
1020788;2;Villalgordo del Júcar;-2,06309183;39,29598679
1020791;2;Villamalea;-1,59908353;39,36160785
1020805;2;Villapalacios;-2,63505947;38,57467359
1020812;2;Villarrobledo;-2,60714311;39,26755792
1020827;2;Villatoya;-1,33858599;39,33385264
1020833;2;Villavaliente;-1,45799642;39,12645758
1020848;2;Villaverde de Guadalimar;-2,518480636;38,456169
1020851;2;Viveros;-2,57590915;38,77363475
1020864;2;Yeste;-2,31896;38,3668
1029010;2;Pozo Cañada;-1,73622317;38,801361
1030015;3;l'Atzúbia;-0,15173035;38,84743029
1030020;3;Agost;-0,63891979;38,43949316
1030036;3;Agres;-0,51595543;38,78000404
1030041;3;Aigües;-0,36258669;38,49887092
1030054;3;Albatera;-0,86792141;38,17894636
1030067;3;Alcalalí;-0,04160798;38,74965349
1030073;3;Alcosser;-0,40197036;38,79447224
1030089;3;Alcoleja;-0,33100925;38,67548564
1030092;3;Alcoi/Alcoy;-0,473163128;38,69764173
1030106;3;Alfafara;-0,55552339;38,77274828
1030113;3;l'Alfàs del Pi;-0,1026002;38,58009496
1030128;3;Algorfa;-0,79568423;38,08681637
1030134;3;Algueña;-1,00303745;38,33800138
1030149;3;Alacant/Alicante;-0,4831832;38,34548705
1030152;3;Almoradí;-0,79201713;38,10977991
1030165;3;Almudaina;-0,35370678;38,76155764
1030171;3;l'Alqueria d'Asnar;-0,42552267;38,77311802
1030187;3;Altea;-0,05144236;38,59892497
1030190;3;Aspe;-0,76849107;38,34577266
1030204;3;Balones;-0,34237388;38,73701039
1030211;3;Banyeres de Mariola;-0,65685684;38,71635902
1030226;3;Benasau;-0,34261264;38,68991329
1030232;3;Beneixama;-0,76676743;38,70018533
1030247;3;Benejúzar;-0,83819517;38,07806375
1030250;3;Benferri;-0,9622579;38,14179352
1030263;3;Beniarbeig;-0,00130364;38,82193219
1030279;3;Beniardà;-0,21600764;38,68343356
1030285;3;Beniarrés;-0,37904234;38,82007885
1030298;3;Benigembla;-0,10982699;38,75633514
1030302;3;Benidoleig;-0,03173239;38,791917
1030319;3;Benidorm;-0,1306853;38,53427136
1030324;3;Benifallim;-0,39922559;38,66273419
1030330;3;Benifato;-0,22888967;38,67369418
1030345;3;Benijófar;-0,73828051;38,0808408
1030358;3;Benilloba;-0,3908201;38,69955909
1030361;3;Benillup;-0,3789958;38,75380301
1030377;3;Benimantell;-0,20984798;38,67659254
1030383;3;Benimarfull;-0,39099875;38,77584801
1030396;3;Benimassot;-0,291855;38,74905825
1030400;3;Benimeli;-0,04146491;38,82296616
1030417;3;Benissa;0,05043358;38,7151969
1030422;3;el Poble Nou de Benitatxell/Benitachell;0,144742727;38,73241632
1030438;3;Biar;-0,76597374;38,62996229
1030443;3;Bigastro;-0,89528476;38,06301558
1030456;3;Bolulla;-0,11168494;38,67657681
1030469;3;Busot;-0,42050568;38,4819618
1030475;3;Calp;0,04453809;38,64526261
1030481;3;Callosa d'en Sarrià;-0,12235041;38,65164066
1030494;3;Callosa de Segura;-0,87933854;38,12258136
1030507;3;el Campello;-0,40086509;38,42754724
1030514;3;el Camp de Mirra/Campo de Mirra;-0,778961778;38,68728729
1030529;3;Cañada;-0,80952172;38,67518917
1030535;3;Castalla;-0,67026538;38,59657643
1030540;3;Castell de Castells;-0,19391054;38,72499704
1030553;3;Catral;-0,80464175;38,15964959
1030566;3;Cocentaina;-0,44022067;38,74541202
1030572;3;Confrides;-0,26810894;38,68353731
1030588;3;Cox;-0,88437585;38,13972138
1030591;3;Crevillent;-0,80855322;38,24881414
1030605;3;Quatretondeta;-0,31641906;38,72386675
1030612;3;Daya Nueva;-0,76103525;38,11371672
1030627;3;Daya Vieja;-0,73805702;38,1047248
1030633;3;Dénia;0,10661934;38,84122705
1030648;3;Dolores;-0,76969869;38,13897736
1030651;3;Elx/Elche;-0,698854923;38,26536234
1030664;3;Elda;-0,79611046;38,47878894
1030670;3;Fageca;-0,26771337;38,73467536
1030686;3;Famorca;-0,24604552;38,73219338
1030699;3;Finestrat;-0,2117688;38,56697349
1030703;3;Formentera del Segura;-0,74649853;38,08423377
1030710;3;Gata de Gorgos;0,08427495;38,7732101
1030725;3;Gaianes;-0,40755768;38,81311114
1030731;3;Gorga;-0,35671735;38,71833445
1030746;3;Granja de Rocamora;-0,89001674;38,15262779
1030759;3;el Castell de Guadalest;-0,19735239;38,67694213
1030762;3;Guardamar del Segura;-0,65477035;38,08988071
1030778;3;el Fondó de les Neus/Hondón de las Nieves;-0,85486637;38,30855695
1030784;3;Hondón de los Frailes;-0,92699487;38,27358559
1030797;3;Ibi;-0,57466482;38,62745682
1030801;3;Jacarilla;-0,86635637;38,06070041
